station_id,name,capacity,num_bikes_available,num_docks_available,lat,lon,is_renting,is_returning
7301,Primrose Ave / Davenport Rd,15,0,15,43.67142,-79.445947,TRUE,TRUE
7302,Winona Dr / Davenport Rd,11,3,8,43.674923,-79.430465,TRUE,TRUE
7303,Queen St E / Woodward Ave,19,17,2,43.665269,-79.319796,TRUE,TRUE
7309,Queen St E / Rhodes Ave,23,16,6,43.666224,-79.317693,TRUE,TRUE
7311,Sherbourne St / Isabella St,18,0,17,43.669576,-79.375961,TRUE,TRUE
7312,Amelia St / Sumach St,11,3,8,43.66852,-79.363525,TRUE,TRUE
7313,Lower Coxwell Ave /  Lake Shore Blvd E,15,13,2,43.662771,-79.315223,TRUE,TRUE
7314,Queen St. E / Eastern Ave,15,8,7,43.667208,-79.312315,TRUE,TRUE
7315,Queen St E / Hammersmith Ave,11,6,4,43.671349,-79.29451,TRUE,TRUE
7316,Queen St. E / Spruce Hill Rd.,15,12,3,43.672571,-79.289,TRUE,TRUE
7317,Hubbard Blvd / Balsam Av,19,10,8,43.669328,-79.288949,TRUE,TRUE
7318,Hubbard Blvd / Glen Manor Dr,15,7,7,43.668633,-79.291162,TRUE,TRUE
7319,Lake Shore Blvd E / Knox Ave,11,10,1,43.660206,-79.3244,TRUE,TRUE
7320,Front St W / University Ave (1),19,15,2,43.6451635,-79.3831757,TRUE,TRUE
7321,Front St W / University Ave (2),18,15,0,43.6452972,-79.3827914,TRUE,TRUE
7322,East Liberty St / Western Battery Rd,18,0,18,43.6392777,-79.4115736,TRUE,TRUE
7323,457 King St W,19,9,9,43.6452091,-79.3960744,TRUE,TRUE
7324,King St W / Charlotte St,23,7,16,43.645572,-79.39399,TRUE,TRUE
7326,Davenport Rd / Lansdowne Ave,19,3,16,43.671526,-79.44874,TRUE,TRUE
7327,Davenport Rd / Dovercourt Rd - SMART,16,0,16,43.6741219,-79.4352208,TRUE,TRUE
7329,Crawford St / Queen St W,19,10,7,43.645665,-79.415345,TRUE,TRUE
7331,Coxwell Ave / Plains Rd,19,6,13,43.69595,-79.328535,TRUE,TRUE
7332,200 Bloor St E,23,16,4,43.671561,-79.38117,TRUE,TRUE
7333,King St E / Victoria St,19,17,2,43.6495789,-79.3762096,TRUE,TRUE
7334,Simcoe St / Wellington St W North,15,13,1,43.6462176,-79.3855048,TRUE,TRUE
7335,Bay St / Bloor St W (West Side),19,12,7,43.669244,-79.3894,TRUE,TRUE
7336,Queen St E / Alton Av,19,13,5,43.663912,-79.327987,TRUE,TRUE
7337,Gerrard Square Mall (1010 Gerrard St E),23,6,16,43.668553,-79.338673,TRUE,TRUE
7338,Logan Ave / Bain Ave,19,11,8,43.6720273,-79.3470557,TRUE,TRUE
7339,Carlaw Ave / Strathcona Ave,15,5,9,43.6753188,-79.3462789,TRUE,TRUE
7340,Blake St / Boultbee Ave,15,9,6,43.672453,-79.338259,TRUE,TRUE
7341,Eastern Ave / Winnifred Ave,14,11,2,43.6592088,-79.3348396,TRUE,TRUE
7342,Morse St / Eastern Ave,11,3,6,43.657991,-79.340075,TRUE,TRUE
7343,Alton Ave / Dundas St E (Greenwood Park),23,14,9,43.66745,-79.329408,TRUE,TRUE
7344,Cherry Beach,48,27,16,43.637764,-79.345359,TRUE,TRUE
7345,Cherry Beach Sports Fields (55 Unwin Ave),31,21,9,43.6408346,-79.3429074,TRUE,TRUE
7346,Logan Ave / Gerrard St E,23,5,18,43.6672144,-79.3452697,TRUE,TRUE
7347,Regal Rd / Dufferin St,15,0,15,43.673939,-79.441159,TRUE,TRUE
7348,Pape Ave / Gamble Ave,19,0,18,43.690237,-79.350119,TRUE,TRUE
7349,Gamble Ave / Broadview Ave,23,2,21,43.689211,-79.35438,TRUE,TRUE
7350,Broadview Ave / Westwood Ave,23,9,14,43.6848652,-79.356602,TRUE,TRUE
7351,Pretoria Ave / Broadview Ave,19,3,16,43.6783213,-79.35822,TRUE,TRUE
7352,Cosburn Ave / Donlands Ave,19,11,6,43.690537,-79.341307,TRUE,TRUE
7353,Fulton Ave / Pape Ave,19,0,19,43.68395,-79.347046,TRUE,TRUE
